[TID: ] 2020-08-19 14:13:02.492 INFO  --- [AbstractTestContextBootstrapper.java:308] [main] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.one.OneApplicationTests], using SpringBootContextLoader
[TID: ] 2020-08-19 14:13:02.501 INFO  --- [AbstractContextLoader.java:264] [main] - Could not detect default resource locations for test class [com.example.one.OneApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
[TID: ] 2020-08-19 14:13:02.502 INFO  --- [AnnotationConfigContextLoaderUtils.java:83] [main] - Could not detect default configuration classes for test class [com.example.one.OneApplicationTests]: OneApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
[TID: ] 2020-08-19 14:13:02.711 INFO  --- [SpringBootTestContextBootstrapper.java:237] [main] - Found @SpringBootConfiguration com.example.one.OneApplication for test class com.example.one.OneApplicationTests
[TID: ] 2020-08-19 14:13:02.827 INFO  --- [AbstractTestContextBootstrapper.java:248] [main] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
[TID: ] 2020-08-19 14:13:02.848 INFO  --- [AbstractTestContextBootstrapper.java:177] [main] - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@747f281, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1169afe1, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2ca26d77, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4808bc9b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@70e38ce1, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2ca923bb, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@13df2a8c, org.springframework.test.context.event.EventPublishingTestExecutionListener@1ebea008, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@72d6b3ba, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1787f2a0, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@7de62196, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@163370c2, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@51bf5add]
[TID: ] 2020-08-19 14:13:03.186 INFO  --- [StartupInfoLogger.java:55] [main] - Starting OneApplicationTests on cuiyaozhongdeMacBook-Pro.local with PID 1694 (started by cuiyaozhong in /Users/cuiyaozhong/software/ideapace/one)
[TID: ] 2020-08-19 14:13:03.187 DEBUG --- [StartupInfoLogger.java:56] [main] - Running with Spring Boot v2.2.7.RELEASE, Spring v5.2.6.RELEASE
[TID: ] 2020-08-19 14:13:03.187 INFO  --- [SpringApplication.java:651] [main] - No active profile set, falling back to default profiles: default
[TID: ] 2020-08-19 14:13:04.017 INFO  --- [RepositoryConfigurationDelegate.java:249] [main] - Multiple Spring Data modules found, entering strict repository configuration mode!
[TID: ] 2020-08-19 14:13:04.022 INFO  --- [RepositoryConfigurationDelegate.java:127] [main] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
[TID: ] 2020-08-19 14:13:04.061 INFO  --- [RepositoryConfigurationDelegate.java:187] [main] - Finished Spring Data repository scanning in 15ms. Found 0 Redis repository interfaces.
[TID: ] 2020-08-19 14:13:04.550 INFO  --- [PostProcessorRegistrationDelegate.java:335] [main] - Bean 'com.alibaba.druid.spring.boot.autoconfigure.stat.DruidSpringAopConfiguration' of type [com.alibaba.druid.spring.boot.autoconfigure.stat.DruidSpringAopConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[TID: ] 2020-08-19 14:13:04.922 INFO  --- [PostProcessorRegistrationDelegate.java:335] [main] - Bean 'spring.datasource.druid-com.alibaba.druid.spring.boot.autoconfigure.properties.DruidStatProperties' of type [com.alibaba.druid.spring.boot.autoconfigure.properties.DruidStatProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[TID: ] 2020-08-19 14:13:04.937 INFO  --- [PostProcessorRegistrationDelegate.java:335] [main] - Bean 'advisor' of type [org.springframework.aop.support.RegexpMethodPointcutAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[TID: ] 2020-08-19 14:13:05.215 INFO  --- [DruidDataSourceAutoConfigure.java:56] [main] - Init DruidDataSource
[TID: ] 2020-08-19 14:13:06.100 INFO  --- [DruidDataSource.java:1010] [main] - {dataSource-1} inited
[TID: ] 2020-08-19 14:13:07.281 INFO  --- [ExecutorConfigurationSupport.java:181] [main] - Initializing ExecutorService 'applicationTaskExecutor'
[TID: ] 2020-08-19 14:13:07.434 INFO  --- [WelcomePageHandlerMapping.java:58] [main] - Adding welcome page template: index
[TID: ] 2020-08-19 14:13:07.933 INFO  --- [StartupInfoLogger.java:61] [main] - Started OneApplicationTests in 5.038 seconds (JVM running for 6.697)
[TID: ] 2020-08-19 14:13:08.395 DEBUG --- [BaseJdbcLogger.java:143] [main] - ==>  Preparing: SELECT * FROM user WHERE name = ? AND password = ? 
[TID: ] 2020-08-19 14:13:08.652 DEBUG --- [BaseJdbcLogger.java:143] [main] - ==> Parameters: one(String), one(String)
[TID: ] 2020-08-19 14:13:08.691 DEBUG --- [BaseJdbcLogger.java:143] [main] - <==      Total: 0
[TID: ] 2020-08-19 14:13:08.718 INFO  --- [ExecutorConfigurationSupport.java:218] [SpringContextShutdownHook] - Shutting down ExecutorService 'applicationTaskExecutor'
[TID: ] 2020-08-19 14:13:08.724 INFO  --- [DruidDataSource.java:2003] [SpringContextShutdownHook] - {dataSource-1} closing ...
[TID: ] 2020-08-19 14:13:08.747 INFO  --- [DruidDataSource.java:2075] [SpringContextShutdownHook] - {dataSource-1} closed
[TID: ] 2020-08-19 14:20:55.626 INFO  --- [AbstractTestContextBootstrapper.java:308] [main] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.one.OneApplicationTests], using SpringBootContextLoader
[TID: ] 2020-08-19 14:20:55.638 INFO  --- [AbstractContextLoader.java:264] [main] - Could not detect default resource locations for test class [com.example.one.OneApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
[TID: ] 2020-08-19 14:20:55.640 INFO  --- [AnnotationConfigContextLoaderUtils.java:83] [main] - Could not detect default configuration classes for test class [com.example.one.OneApplicationTests]: OneApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
[TID: ] 2020-08-19 14:20:55.795 INFO  --- [SpringBootTestContextBootstrapper.java:237] [main] - Found @SpringBootConfiguration com.example.one.OneApplication for test class com.example.one.OneApplicationTests
[TID: ] 2020-08-19 14:20:55.913 INFO  --- [AbstractTestContextBootstrapper.java:248] [main] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
[TID: ] 2020-08-19 14:20:55.934 INFO  --- [AbstractTestContextBootstrapper.java:177] [main] - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@747f281, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1169afe1, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2ca26d77, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4808bc9b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@70e38ce1, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2ca923bb, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@13df2a8c, org.springframework.test.context.event.EventPublishingTestExecutionListener@1ebea008, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@72d6b3ba, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1787f2a0, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@7de62196, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@163370c2, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@51bf5add]
[TID: ] 2020-08-19 14:20:56.261 INFO  --- [StartupInfoLogger.java:55] [main] - Starting OneApplicationTests on cuiyaozhongdeMacBook-Pro.local with PID 1710 (started by cuiyaozhong in /Users/cuiyaozhong/software/ideapace/one)
[TID: ] 2020-08-19 14:20:56.261 DEBUG --- [StartupInfoLogger.java:56] [main] - Running with Spring Boot v2.2.7.RELEASE, Spring v5.2.6.RELEASE
[TID: ] 2020-08-19 14:20:56.262 INFO  --- [SpringApplication.java:651] [main] - No active profile set, falling back to default profiles: default
[TID: ] 2020-08-19 14:20:57.034 INFO  --- [RepositoryConfigurationDelegate.java:249] [main] - Multiple Spring Data modules found, entering strict repository configuration mode!
[TID: ] 2020-08-19 14:20:57.038 INFO  --- [RepositoryConfigurationDelegate.java:127] [main] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
[TID: ] 2020-08-19 14:20:57.082 INFO  --- [RepositoryConfigurationDelegate.java:187] [main] - Finished Spring Data repository scanning in 21ms. Found 0 Redis repository interfaces.
[TID: ] 2020-08-19 14:20:57.511 INFO  --- [PostProcessorRegistrationDelegate.java:335] [main] - Bean 'com.alibaba.druid.spring.boot.autoconfigure.stat.DruidSpringAopConfiguration' of type [com.alibaba.druid.spring.boot.autoconfigure.stat.DruidSpringAopConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[TID: ] 2020-08-19 14:20:57.706 INFO  --- [PostProcessorRegistrationDelegate.java:335] [main] - Bean 'spring.datasource.druid-com.alibaba.druid.spring.boot.autoconfigure.properties.DruidStatProperties' of type [com.alibaba.druid.spring.boot.autoconfigure.properties.DruidStatProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
